key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,20,19,down,0.01,db,0.04891814773922974,0.0009794002398848534,60.707276499830186,60.707276499830186,61.00714479992166,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,21,20,down,0.01,db,0.0488618610477905,0.0008371002040803432,63.04071769956499,63.04071769956499,63.34067059960216,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,22,21,down,0.01,db,0.048805639121510605,0.0008369996212422848,65.44084019958973,65.44084019958973,65.74058709992096,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,23,22,down,0.01,db,0.04874948188586931,0.0008453000336885452,67.84083049977198,67.84083049977198,68.14057119982317,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,24,23,down,0.01,db,0.04869338926643163,0.000924800056964159,70.15713969990611,70.15713969990611,70.4573350995779,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,25,24,down,0.01,db,0.04863736118884821,0.0007560998201370239,72.50720919994637,72.50720919994637,72.80739499954507,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,26,25,down,0.01,db,0.04858139757885526,0.0008455999195575714,74.84078079974279,74.84078079974279,75.14060439961031,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,27,26,down,0.01,db,0.04852549836227443,0.0007668999023735523,77.19061299972236,77.19061299972236,77.49078689981252,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,28,27,down,0.01,db,0.048469663465012726,0.0007946998812258244,79.50742959976196,79.50742959976196,79.80739709967747,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,29,28,down,0.01,db,0.0484138928130624,0.0007958998903632164,81.84059939999133,81.84059939999133,82.1405242998153,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
